"pl_id";"l_name";"f_name";"pl_name";"t_id";"p_id";"pl_num";"p_code";"p_name";"p_target";"t_code"
"26";"RIVERA";"SEBASTIÁN";"RIVERA, SEBASTIÁN";"12";"4";"71";"F";"Forward";"6";"U08"
"27";"GOMEZ";"SEBASTIÁN";"GOMEZ, SEBASTIÁN";"4";"4";"34";"F";"Forward";"6";"U16"
"28";"DIAZ";"SEBASTIÁN";"DIAZ, SEBASTIÁN";"7";"1";"35";"G";"Goalkeeper";"3";"U13"
"29";"GARCIA";"MATÍAS";"GARCIA, MATÍAS";"12";"2";"59";"D";"Defender";"7";"U08"
"30";"RODRIGUEZ";"MATÍAS";"RODRIGUEZ, MATÍAS";"4";"3";"21";"M";"Midfielder";"9";"U16"
"31";"MARTINEZ";"MATÍAS";"MARTINEZ, MATÍAS";"9";"4";"51";"F";"Forward";"6";"U11"
"32";"HERNANDEZ";"MATÍAS";"HERNANDEZ, MATÍAS";"9";"3";"75";"M";"Midfielder";"9";"U11"
"33";"LOPEZ";"MATÍAS";"LOPEZ, MATÍAS";"9";"2";"71";"D";"Defender";"7";"U11"
"34";"GONZALEZ";"MATÍAS";"GONZALEZ, MATÍAS";"11";"3";"73";"M";"Midfielder";"9";"U09"
"35";"PEREZ";"MATÍAS";"PEREZ, MATÍAS";"14";"4";"13";"F";"Forward";"6";"U06"
"36";"SANCHEZ";"MATÍAS";"SANCHEZ, MATÍAS";"1";"3";"13";"M";"Midfielder";"9";"S"
"37";"RAMIREZ";"MATÍAS";"RAMIREZ, MATÍAS";"10";"1";"94";"G";"Goalkeeper";"3";"U10"
"38";"TORRES";"MATÍAS";"TORRES, MATÍAS";"5";"2";"2";"D";"Defender";"7";"U15"
"39";"FLORES";"MATÍAS";"FLORES, MATÍAS";"4";"1";"79";"G";"Goalkeeper";"3";"U16"
"40";"RIVERA";"MATÍAS";"RIVERA, MATÍAS";"4";"4";"33";"F";"Forward";"6";"U16"
"41";"GOMEZ";"MATÍAS";"GOMEZ, MATÍAS";"6";"4";"33";"F";"Forward";"6";"U14"
"42";"DIAZ";"MATÍAS";"DIAZ, MATÍAS";"3";"4";"92";"F";"Forward";"6";"U17"
"43";"GARCIA";"MATEO";"GARCIA, MATEO";"10";"3";"31";"M";"Midfielder";"9";"U10"
"44";"RODRIGUEZ";"MATEO";"RODRIGUEZ, MATEO";"3";"3";"48";"M";"Midfielder";"9";"U17"
"45";"MARTINEZ";"MATEO";"MARTINEZ, MATEO";"14";"3";"76";"M";"Midfielder";"9";"U06"
"46";"HERNANDEZ";"MATEO";"HERNANDEZ, MATEO";"5";"2";"21";"D";"Defender";"7";"U15"
"47";"LOPEZ";"MATEO";"LOPEZ, MATEO";"5";"1";"81";"G";"Goalkeeper";"3";"U15"
"48";"GONZALEZ";"MATEO";"GONZALEZ, MATEO";"2";"2";"28";"D";"Defender";"7";"U18"
"49";"PEREZ";"MATEO";"PEREZ, MATEO";"3";"2";"31";"D";"Defender";"7";"U17"
"50";"SANCHEZ";"MATEO";"SANCHEZ, MATEO";"3";"2";"48";"D";"Defender";"7";"U17"
"51";"RAMIREZ";"MATEO";"RAMIREZ, MATEO";"1";"4";"23";"F";"Forward";"6";"S"
"52";"TORRES";"MATEO";"TORRES, MATEO";"2";"4";"61";"F";"Forward";"6";"U18"
"53";"FLORES";"MATEO";"FLORES, MATEO";"5";"1";"71";"G";"Goalkeeper";"3";"U15"
"54";"RIVERA";"MATEO";"RIVERA, MATEO";"4";"2";"44";"D";"Defender";"7";"U16"
"55";"GOMEZ";"MATEO";"GOMEZ, MATEO";"9";"3";"91";"M";"Midfielder";"9";"U11"
"56";"DIAZ";"MATEO";"DIAZ, MATEO";"4";"4";"42";"F";"Forward";"6";"U16"
"57";"GARCIA";"NICOLÁS";"GARCIA, NICOLÁS";"5";"1";"23";"G";"Goalkeeper";"3";"U15"
"58";"RODRIGUEZ";"NICOLÁS";"RODRIGUEZ, NICOLÁS";"13";"4";"37";"F";"Forward";"6";"U07"
"59";"MARTINEZ";"NICOLÁS";"MARTINEZ, NICOLÁS";"12";"3";"57";"M";"Midfielder";"9";"U08"
"60";"HERNANDEZ";"NICOLÁS";"HERNANDEZ, NICOLÁS";"12";"3";"82";"M";"Midfielder";"9";"U08"
"61";"LOPEZ";"NICOLÁS";"LOPEZ, NICOLÁS";"8";"1";"65";"G";"Goalkeeper";"3";"U12"
"62";"GONZALEZ";"NICOLÁS";"GONZALEZ, NICOLÁS";"14";"4";"85";"F";"Forward";"6";"U06"
"63";"PEREZ";"NICOLÁS";"PEREZ, NICOLÁS";"7";"3";"48";"M";"Midfielder";"9";"U13"
"64";"SANCHEZ";"NICOLÁS";"SANCHEZ, NICOLÁS";"2";"2";"45";"D";"Defender";"7";"U18"
"65";"RAMIREZ";"NICOLÁS";"RAMIREZ, NICOLÁS";"3";"3";"62";"M";"Midfielder";"9";"U17"
"66";"TORRES";"NICOLÁS";"TORRES, NICOLÁS";"2";"2";"79";"D";"Defender";"7";"U18"
"67";"FLORES";"NICOLÁS";"FLORES, NICOLÁS";"13";"2";"83";"D";"Defender";"7";"U07"
"68";"RIVERA";"NICOLÁS";"RIVERA, NICOLÁS";"12";"4";"8";"F";"Forward";"6";"U08"
"69";"GOMEZ";"NICOLÁS";"GOMEZ, NICOLÁS";"6";"1";"15";"G";"Goalkeeper";"3";"U14"
"70";"DIAZ";"NICOLÁS";"DIAZ, NICOLÁS";"7";"4";"61";"F";"Forward";"6";"U13"
"71";"GARCIA";"ALEJANDRO";"GARCIA, ALEJANDRO";"5";"1";"49";"G";"Goalkeeper";"3";"U15"
"72";"RODRIGUEZ";"ALEJANDRO";"RODRIGUEZ, ALEJANDRO";"8";"3";"46";"M";"Midfielder";"9";"U12"
"73";"MARTINEZ";"ALEJANDRO";"MARTINEZ, ALEJANDRO";"8";"1";"46";"G";"Goalkeeper";"3";"U12"
"74";"HERNANDEZ";"ALEJANDRO";"HERNANDEZ, ALEJANDRO";"10";"3";"75";"M";"Midfielder";"9";"U10"
"75";"LOPEZ";"ALEJANDRO";"LOPEZ, ALEJANDRO";"3";"3";"84";"M";"Midfielder";"9";"U17"
"76";"GONZALEZ";"ALEJANDRO";"GONZALEZ, ALEJANDRO";"9";"4";"48";"F";"Forward";"6";"U11"
"77";"PEREZ";"ALEJANDRO";"PEREZ, ALEJANDRO";"10";"1";"98";"G";"Goalkeeper";"3";"U10"
"78";"SANCHEZ";"ALEJANDRO";"SANCHEZ, ALEJANDRO";"10";"3";"41";"M";"Midfielder";"9";"U10"
"79";"RAMIREZ";"ALEJANDRO";"RAMIREZ, ALEJANDRO";"7";"2";"2";"D";"Defender";"7";"U13"
"80";"TORRES";"ALEJANDRO";"TORRES, ALEJANDRO";"1";"1";"45";"G";"Goalkeeper";"3";"S"
"81";"FLORES";"ALEJANDRO";"FLORES, ALEJANDRO";"4";"1";"69";"G";"Goalkeeper";"3";"U16"
"82";"RIVERA";"ALEJANDRO";"RIVERA, ALEJANDRO";"1";"1";"51";"G";"Goalkeeper";"3";"S"
"83";"GOMEZ";"ALEJANDRO";"GOMEZ, ALEJANDRO";"13";"3";"27";"M";"Midfielder";"9";"U07"
"84";"DIAZ";"ALEJANDRO";"DIAZ, ALEJANDRO";"2";"4";"77";"F";"Forward";"6";"U18"
"85";"GARCIA";"DIEGO";"GARCIA, DIEGO";"2";"3";"62";"M";"Midfielder";"9";"U18"
"86";"RODRIGUEZ";"DIEGO";"RODRIGUEZ, DIEGO";"1";"2";"94";"D";"Defender";"7";"S"
"87";"MARTINEZ";"DIEGO";"MARTINEZ, DIEGO";"1";"1";"67";"G";"Goalkeeper";"3";"S"
"88";"HERNANDEZ";"DIEGO";"HERNANDEZ, DIEGO";"5";"1";"77";"G";"Goalkeeper";"3";"U15"
"89";"LOPEZ";"DIEGO";"LOPEZ, DIEGO";"11";"1";"69";"G";"Goalkeeper";"3";"U09"
"90";"GONZALEZ";"DIEGO";"GONZALEZ, DIEGO";"10";"2";"7";"D";"Defender";"7";"U10"
"91";"PEREZ";"DIEGO";"PEREZ, DIEGO";"6";"1";"8";"G";"Goalkeeper";"3";"U14"
"92";"SANCHEZ";"DIEGO";"SANCHEZ, DIEGO";"2";"3";"83";"M";"Midfielder";"9";"U18"
"93";"RAMIREZ";"DIEGO";"RAMIREZ, DIEGO";"10";"3";"74";"M";"Midfielder";"9";"U10"
"94";"TORRES";"DIEGO";"TORRES, DIEGO";"6";"1";"42";"G";"Goalkeeper";"3";"U14"
"95";"FLORES";"DIEGO";"FLORES, DIEGO";"2";"1";"19";"G";"Goalkeeper";"3";"U18"
"96";"RIVERA";"DIEGO";"RIVERA, DIEGO";"12";"1";"71";"G";"Goalkeeper";"3";"U08"
"97";"GOMEZ";"DIEGO";"GOMEZ, DIEGO";"5";"2";"81";"D";"Defender";"7";"U15"
"98";"DIAZ";"DIEGO";"DIAZ, DIEGO";"9";"3";"71";"M";"Midfielder";"9";"U11"
"99";"GARCIA";"SAMUEL";"GARCIA, SAMUEL";"1";"2";"9";"D";"Defender";"7";"S"
"100";"RODRIGUEZ";"SAMUEL";"RODRIGUEZ, SAMUEL";"1";"1";"19";"G";"Goalkeeper";"3";"S"
"101";"MARTINEZ";"SAMUEL";"MARTINEZ, SAMUEL";"1";"3";"72";"M";"Midfielder";"9";"S"
"102";"HERNANDEZ";"SAMUEL";"HERNANDEZ, SAMUEL";"6";"3";"8";"M";"Midfielder";"9";"U14"
"103";"LOPEZ";"SAMUEL";"LOPEZ, SAMUEL";"9";"4";"84";"F";"Forward";"6";"U11"
"104";"GONZALEZ";"SAMUEL";"GONZALEZ, SAMUEL";"2";"4";"91";"F";"Forward";"6";"U18"
"105";"PEREZ";"SAMUEL";"PEREZ, SAMUEL";"14";"4";"84";"F";"Forward";"6";"U06"
"106";"SANCHEZ";"SAMUEL";"SANCHEZ, SAMUEL";"1";"1";"51";"G";"Goalkeeper";"3";"S"
"107";"RAMIREZ";"SAMUEL";"RAMIREZ, SAMUEL";"6";"2";"45";"D";"Defender";"7";"U14"
"108";"TORRES";"SAMUEL";"TORRES, SAMUEL";"2";"2";"50";"D";"Defender";"7";"U18"
"109";"FLORES";"SAMUEL";"FLORES, SAMUEL";"3";"3";"15";"M";"Midfielder";"9";"U17"
"110";"RIVERA";"SAMUEL";"RIVERA, SAMUEL";"3";"2";"65";"D";"Defender";"7";"U17"
"111";"GOMEZ";"SAMUEL";"GOMEZ, SAMUEL";"6";"4";"2";"F";"Forward";"6";"U14"
"112";"DIAZ";"SAMUEL";"DIAZ, SAMUEL";"9";"3";"92";"M";"Midfielder";"9";"U11"
"113";"GARCIA";"BENJAMÍN";"GARCIA, BENJAMÍN";"9";"2";"53";"D";"Defender";"7";"U11"
"114";"RODRIGUEZ";"BENJAMÍN";"RODRIGUEZ, BENJAMÍN";"9";"1";"75";"G";"Goalkeeper";"3";"U11"
"115";"MARTINEZ";"BENJAMÍN";"MARTINEZ, BENJAMÍN";"4";"4";"14";"F";"Forward";"6";"U16"
"116";"HERNANDEZ";"BENJAMÍN";"HERNANDEZ, BENJAMÍN";"1";"4";"8";"F";"Forward";"6";"S"
"117";"LOPEZ";"BENJAMÍN";"LOPEZ, BENJAMÍN";"12";"4";"32";"F";"Forward";"6";"U08"
"118";"GONZALEZ";"BENJAMÍN";"GONZALEZ, BENJAMÍN";"5";"1";"91";"G";"Goalkeeper";"3";"U15"
"119";"PEREZ";"BENJAMÍN";"PEREZ, BENJAMÍN";"3";"3";"63";"M";"Midfielder";"9";"U17"
"120";"SANCHEZ";"BENJAMÍN";"SANCHEZ, BENJAMÍN";"10";"1";"68";"G";"Goalkeeper";"3";"U10"
"121";"RAMIREZ";"BENJAMÍN";"RAMIREZ, BENJAMÍN";"9";"3";"8";"M";"Midfielder";"9";"U11"
"122";"TORRES";"BENJAMÍN";"TORRES, BENJAMÍN";"4";"2";"54";"D";"Defender";"7";"U16"
"123";"FLORES";"BENJAMÍN";"FLORES, BENJAMÍN";"6";"4";"43";"F";"Forward";"6";"U14"
"124";"RIVERA";"BENJAMÍN";"RIVERA, BENJAMÍN";"9";"2";"36";"D";"Defender";"7";"U11"
"125";"GOMEZ";"BENJAMÍN";"GOMEZ, BENJAMÍN";"14";"3";"70";"M";"Midfielder";"9";"U06"
"126";"DIAZ";"BENJAMÍN";"DIAZ, BENJAMÍN";"4";"1";"14";"G";"Goalkeeper";"3";"U16"
"127";"GARCIA";"DANIEL";"GARCIA, DANIEL";"8";"1";"74";"G";"Goalkeeper";"3";"U12"
"128";"RODRIGUEZ";"DANIEL";"RODRIGUEZ, DANIEL";"10";"3";"2";"M";"Midfielder";"9";"U10"
"129";"MARTINEZ";"DANIEL";"MARTINEZ, DANIEL";"6";"2";"64";"D";"Defender";"7";"U14"
"130";"HERNANDEZ";"DANIEL";"HERNANDEZ, DANIEL";"5";"1";"22";"G";"Goalkeeper";"3";"U15"
"131";"LOPEZ";"DANIEL";"LOPEZ, DANIEL";"13";"4";"48";"F";"Forward";"6";"U07"
"132";"GONZALEZ";"DANIEL";"GONZALEZ, DANIEL";"13";"1";"43";"G";"Goalkeeper";"3";"U07"
"133";"PEREZ";"DANIEL";"PEREZ, DANIEL";"6";"2";"50";"D";"Defender";"7";"U14"
"134";"SANCHEZ";"DANIEL";"SANCHEZ, DANIEL";"11";"4";"61";"F";"Forward";"6";"U09"
"135";"RAMIREZ";"DANIEL";"RAMIREZ, DANIEL";"2";"3";"93";"M";"Midfielder";"9";"U18"
"136";"TORRES";"DANIEL";"TORRES, DANIEL";"13";"1";"15";"G";"Goalkeeper";"3";"U07"
"137";"FLORES";"DANIEL";"FLORES, DANIEL";"1";"3";"82";"M";"Midfielder";"9";"S"
"138";"RIVERA";"DANIEL";"RIVERA, DANIEL";"3";"4";"88";"F";"Forward";"6";"U17"
"139";"GOMEZ";"DANIEL";"GOMEZ, DANIEL";"12";"2";"71";"D";"Defender";"7";"U08"
"140";"DIAZ";"DANIEL";"DIAZ, DANIEL";"14";"4";"52";"F";"Forward";"6";"U06"
"141";"GARCIA";"JOAQUÍN";"GARCIA, JOAQUÍN";"2";"2";"12";"D";"Defender";"7";"U18"
"142";"RODRIGUEZ";"JOAQUÍN";"RODRIGUEZ, JOAQUÍN";"4";"4";"15";"F";"Forward";"6";"U16"
"143";"MARTINEZ";"JOAQUÍN";"MARTINEZ, JOAQUÍN";"2";"4";"89";"F";"Forward";"6";"U18"
"144";"HERNANDEZ";"JOAQUÍN";"HERNANDEZ, JOAQUÍN";"9";"4";"18";"F";"Forward";"6";"U11"
"145";"LOPEZ";"JOAQUÍN";"LOPEZ, JOAQUÍN";"6";"3";"19";"M";"Midfielder";"9";"U14"
"146";"GONZALEZ";"JOAQUÍN";"GONZALEZ, JOAQUÍN";"14";"3";"93";"M";"Midfielder";"9";"U06"
"147";"PEREZ";"JOAQUÍN";"PEREZ, JOAQUÍN";"8";"2";"44";"D";"Defender";"7";"U12"
"148";"SANCHEZ";"JOAQUÍN";"SANCHEZ, JOAQUÍN";"6";"3";"50";"M";"Midfielder";"9";"U14"
"149";"RAMIREZ";"JOAQUÍN";"RAMIREZ, JOAQUÍN";"14";"1";"64";"G";"Goalkeeper";"3";"U06"
"150";"TORRES";"JOAQUÍN";"TORRES, JOAQUÍN";"12";"2";"56";"D";"Defender";"7";"U08"
"151";"FLORES";"JOAQUÍN";"FLORES, JOAQUÍN";"14";"1";"88";"G";"Goalkeeper";"3";"U06"
"152";"RIVERA";"JOAQUÍN";"RIVERA, JOAQUÍN";"2";"3";"60";"M";"Midfielder";"9";"U18"
"153";"GOMEZ";"JOAQUÍN";"GOMEZ, JOAQUÍN";"2";"1";"73";"G";"Goalkeeper";"3";"U18"
"154";"DIAZ";"JOAQUÍN";"DIAZ, JOAQUÍN";"12";"4";"51";"F";"Forward";"6";"U08"
"155";"GARCIA";"LUCAS";"GARCIA, LUCAS";"5";"1";"25";"G";"Goalkeeper";"3";"U15"
"156";"RODRIGUEZ";"LUCAS";"RODRIGUEZ, LUCAS";"11";"4";"37";"F";"Forward";"6";"U09"
"157";"MARTINEZ";"LUCAS";"MARTINEZ, LUCAS";"1";"3";"38";"M";"Midfielder";"9";"S"
"158";"HERNANDEZ";"LUCAS";"HERNANDEZ, LUCAS";"1";"1";"21";"G";"Goalkeeper";"3";"S"
"159";"LOPEZ";"LUCAS";"LOPEZ, LUCAS";"11";"3";"23";"M";"Midfielder";"9";"U09"
"160";"GONZALEZ";"LUCAS";"GONZALEZ, LUCAS";"6";"3";"83";"M";"Midfielder";"9";"U14"
"161";"PEREZ";"LUCAS";"PEREZ, LUCAS";"8";"4";"45";"F";"Forward";"6";"U12"
"162";"SANCHEZ";"LUCAS";"SANCHEZ, LUCAS";"5";"4";"2";"F";"Forward";"6";"U15"
"163";"RAMIREZ";"LUCAS";"RAMIREZ, LUCAS";"13";"4";"59";"F";"Forward";"6";"U07"
"164";"TORRES";"LUCAS";"TORRES, LUCAS";"12";"1";"77";"G";"Goalkeeper";"3";"U08"
"165";"FLORES";"LUCAS";"FLORES, LUCAS";"2";"4";"34";"F";"Forward";"6";"U18"
"166";"RIVERA";"LUCAS";"RIVERA, LUCAS";"1";"1";"43";"G";"Goalkeeper";"3";"S"
"167";"GOMEZ";"LUCAS";"GOMEZ, LUCAS";"10";"4";"85";"F";"Forward";"6";"U10"
"168";"DIAZ";"LUCAS";"DIAZ, LUCAS";"10";"1";"62";"G";"Goalkeeper";"3";"U10"
"169";"GARCIA";"TOMAS";"GARCIA, TOMAS";"12";"3";"74";"M";"Midfielder";"9";"U08"
"170";"RODRIGUEZ";"TOMAS";"RODRIGUEZ, TOMAS";"5";"1";"62";"G";"Goalkeeper";"3";"U15"
"171";"MARTINEZ";"TOMAS";"MARTINEZ, TOMAS";"13";"3";"23";"M";"Midfielder";"9";"U07"
"172";"HERNANDEZ";"TOMAS";"HERNANDEZ, TOMAS";"9";"1";"51";"G";"Goalkeeper";"3";"U11"
"173";"LOPEZ";"TOMAS";"LOPEZ, TOMAS";"5";"3";"72";"M";"Midfielder";"9";"U15"
"174";"GONZALEZ";"TOMAS";"GONZALEZ, TOMAS";"10";"4";"11";"F";"Forward";"6";"U10"
"175";"PEREZ";"TOMAS";"PEREZ, TOMAS";"9";"3";"76";"M";"Midfielder";"9";"U11"
"176";"SANCHEZ";"TOMAS";"SANCHEZ, TOMAS";"14";"2";"67";"D";"Defender";"7";"U06"
"177";"RAMIREZ";"TOMAS";"RAMIREZ, TOMAS";"14";"1";"98";"G";"Goalkeeper";"3";"U06"
"178";"TORRES";"TOMAS";"TORRES, TOMAS";"4";"1";"78";"G";"Goalkeeper";"3";"U16"
"179";"FLORES";"TOMAS";"FLORES, TOMAS";"3";"2";"76";"D";"Defender";"7";"U17"
"180";"RIVERA";"TOMAS";"RIVERA, TOMAS";"8";"3";"1";"M";"Midfielder";"9";"U12"
"181";"GOMEZ";"TOMAS";"GOMEZ, TOMAS";"7";"2";"44";"D";"Defender";"7";"U13"
"182";"DIAZ";"TOMAS";"DIAZ, TOMAS";"2";"3";"12";"M";"Midfielder";"9";"U18"
"183";"GARCIA";"GABRIEL";"GARCIA, GABRIEL";"6";"1";"50";"G";"Goalkeeper";"3";"U14"
"184";"RODRIGUEZ";"GABRIEL";"RODRIGUEZ, GABRIEL";"7";"1";"2";"G";"Goalkeeper";"3";"U13"
"185";"MARTINEZ";"GABRIEL";"MARTINEZ, GABRIEL";"7";"3";"1";"M";"Midfielder";"9";"U13"
"186";"HERNANDEZ";"GABRIEL";"HERNANDEZ, GABRIEL";"5";"3";"69";"M";"Midfielder";"9";"U15"
"187";"LOPEZ";"GABRIEL";"LOPEZ, GABRIEL";"10";"1";"11";"G";"Goalkeeper";"3";"U10"
"188";"GONZALEZ";"GABRIEL";"GONZALEZ, GABRIEL";"11";"3";"83";"M";"Midfielder";"9";"U09"
"189";"PEREZ";"GABRIEL";"PEREZ, GABRIEL";"10";"3";"62";"M";"Midfielder";"9";"U10"
"190";"SANCHEZ";"GABRIEL";"SANCHEZ, GABRIEL";"6";"3";"86";"M";"Midfielder";"9";"U14"
"191";"RAMIREZ";"GABRIEL";"RAMIREZ, GABRIEL";"11";"2";"74";"D";"Defender";"7";"U09"
"192";"TORRES";"GABRIEL";"TORRES, GABRIEL";"12";"4";"62";"F";"Forward";"6";"U08"
"193";"FLORES";"GABRIEL";"FLORES, GABRIEL";"1";"4";"58";"F";"Forward";"6";"S"
"194";"RIVERA";"GABRIEL";"RIVERA, GABRIEL";"11";"4";"82";"F";"Forward";"6";"U09"
"195";"GOMEZ";"GABRIEL";"GOMEZ, GABRIEL";"9";"1";"3";"G";"Goalkeeper";"3";"U11"
"196";"DIAZ";"GABRIEL";"DIAZ, GABRIEL";"3";"2";"19";"D";"Defender";"7";"U17"
"197";"GARCIA";"MARTÍN";"GARCIA, MARTÍN";"14";"2";"7";"D";"Defender";"7";"U06"
"198";"RODRIGUEZ";"MARTÍN";"RODRIGUEZ, MARTÍN";"14";"1";"77";"G";"Goalkeeper";"3";"U06"
"199";"MARTINEZ";"MARTÍN";"MARTINEZ, MARTÍN";"6";"3";"71";"M";"Midfielder";"9";"U14"
"200";"HERNANDEZ";"MARTÍN";"HERNANDEZ, MARTÍN";"5";"3";"83";"M";"Midfielder";"9";"U15"
"201";"LOPEZ";"MARTÍN";"LOPEZ, MARTÍN";"9";"4";"94";"F";"Forward";"6";"U11"
"202";"GONZALEZ";"MARTÍN";"GONZALEZ, MARTÍN";"8";"4";"43";"F";"Forward";"6";"U12"
"203";"PEREZ";"MARTÍN";"PEREZ, MARTÍN";"2";"4";"59";"F";"Forward";"6";"U18"
"204";"SANCHEZ";"MARTÍN";"SANCHEZ, MARTÍN";"6";"4";"44";"F";"Forward";"6";"U14"
"205";"RAMIREZ";"MARTÍN";"RAMIREZ, MARTÍN";"6";"1";"81";"G";"Goalkeeper";"3";"U14"
"206";"TORRES";"MARTÍN";"TORRES, MARTÍN";"13";"2";"76";"D";"Defender";"7";"U07"
"207";"FLORES";"MARTÍN";"FLORES, MARTÍN";"12";"3";"70";"M";"Midfielder";"9";"U08"
"208";"RIVERA";"MARTÍN";"RIVERA, MARTÍN";"8";"4";"87";"F";"Forward";"6";"U12"
"209";"GOMEZ";"MARTÍN";"GOMEZ, MARTÍN";"6";"1";"29";"G";"Goalkeeper";"3";"U14"
"210";"DIAZ";"MARTÍN";"DIAZ, MARTÍN";"6";"1";"99";"G";"Goalkeeper";"3";"U14"
"211";"GARCIA";"DAVID";"GARCIA, DAVID";"11";"3";"70";"M";"Midfielder";"9";"U09"
"212";"RODRIGUEZ";"DAVID";"RODRIGUEZ, DAVID";"10";"1";"57";"G";"Goalkeeper";"3";"U10"
"213";"MARTINEZ";"DAVID";"MARTINEZ, DAVID";"13";"3";"57";"M";"Midfielder";"9";"U07"
"214";"HERNANDEZ";"DAVID";"HERNANDEZ, DAVID";"11";"4";"79";"F";"Forward";"6";"U09"
"215";"LOPEZ";"DAVID";"LOPEZ, DAVID";"6";"1";"60";"G";"Goalkeeper";"3";"U14"
"216";"GONZALEZ";"DAVID";"GONZALEZ, DAVID";"8";"2";"38";"D";"Defender";"7";"U12"
"217";"PEREZ";"DAVID";"PEREZ, DAVID";"14";"3";"23";"M";"Midfielder";"9";"U06"
"218";"SANCHEZ";"DAVID";"SANCHEZ, DAVID";"1";"4";"80";"F";"Forward";"6";"S"
"219";"RAMIREZ";"DAVID";"RAMIREZ, DAVID";"13";"3";"61";"M";"Midfielder";"9";"U07"
"220";"TORRES";"DAVID";"TORRES, DAVID";"2";"3";"71";"M";"Midfielder";"9";"U18"
"221";"FLORES";"DAVID";"FLORES, DAVID";"10";"2";"27";"D";"Defender";"7";"U10"
"222";"RIVERA";"DAVID";"RIVERA, DAVID";"13";"1";"33";"G";"Goalkeeper";"3";"U07"
"223";"GOMEZ";"DAVID";"GOMEZ, DAVID";"7";"1";"38";"G";"Goalkeeper";"3";"U13"
"224";"DIAZ";"DAVID";"DIAZ, DAVID";"14";"4";"86";"F";"Forward";"6";"U06"
"225";"GARCIA";"EMILIANO";"GARCIA, EMILIANO";"1";"3";"38";"M";"Midfielder";"9";"S"
"226";"RODRIGUEZ";"EMILIANO";"RODRIGUEZ, EMILIANO";"11";"1";"38";"G";"Goalkeeper";"3";"U09"
"227";"MARTINEZ";"EMILIANO";"MARTINEZ, EMILIANO";"6";"2";"38";"D";"Defender";"7";"U14"
